PROVID,PROVNAME,PROVIDERFIRSTNAME,PROVIDERLASTNAME,PROVNPI,PROVZIPCODE,PROVTYPECODE,PROVTYPEDESC,SPECCODE,SPECDESC,SPECROLLUPCODE,SPECROLLUPDESC,IMPLIEDSPECCODE,IMPLIEDSPECDESC,RC,MEMCOUNT,PAIDAMT
330307394,Provider - 330307394,,,~NULL,,~NULL,,IS0030,Neurosurgery,,,IS0030,Neurosurgery,10,1,16032.6
330006655,Provider - 330006655,,,,33623,F,,AC17,Dialysis,,,IS0028,Nephrology,36,1,16027.75
330536141,Provider - 330536141,,,,98026,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,3,1,16022.95
330379644,Provider - 330379644,,,,04915,P,,11,Internal medicine,,,IS0012,Non-PBM Drug,1,1,15968
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0045,Surgery,59,2,15778.68
330544209,Provider - 330544209,,,,30384,F,,IS0023,Hospital,,,IS0026,Laboratory,7,2,15697.9
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0043,Rehabilitation Therapies,130,13,15635.12
330308382,Provider - 330308382,,,~NULL,,~NULL,,31,"Roentgenology, radiology",,,IS0042,Radiology,21,2,15552.36
330492568,Provider - 330492568,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,1,1,15444
330307396,Provider - 330307396,,,~NULL,,~NULL,,IS0030,Neurosurgery,,,IS0030,Neurosurgery,4,1,15063.9
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,25,2,14930.56
330010216,Provider - 330010216,,,,85067,F,,IS0023,Hospital,,,IS0028,Nephrology,8,1,14797.5
330332726,Provider - 330332726,,,,19612,F,,A1,Skilled Nursing Facility (SNF),,,IS0043,Rehabilitation Therapies,33,1,14723.76
330345769,Provider - 330345769,,,,16544,F,,IS0023,Hospital,,,IS0007,Cardiothoracic Surgery,20,1,14484.56
330544211,Provider - 330544211,,,,33033,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,22,1,14417.05
330297919,Provider - 330297919,,,~NULL,,~NULL,,~INV,Value not defined,,,IS0003,Ambulatory Services,5,2,13951.9
330487948,Provider - 330487948,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,16,3,13860.14
330544209,Provider - 330544209,,,,33102,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,3,2,13662.18
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0006,Cardiology,14,4,13315.02
330409328,Provider - 330409328,,,,44124,F,,79,Addiction medicine,,,IS0027,Mental Health,134,2,13263
330389982,"ROYAL, EVAN MD",,,,45140,P,,88,Unknown supplier/provider specialty,,,IS0021,Home Care,987,1,13015.2
330115515,Provider - 330115515,,,,67201,F,,IS0023,Hospital,,,IS0045,Surgery,11,1,12683.72
330255322,Provider - 330255322,,,,77210,P,,88,Unknown supplier/provider specialty,,,,,4,1,12600
330487961,Provider - 330487961,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0006,Cardiology,3,2,12496
1003910100,ST CHARLES MEDICAL CLINIC PLC,,,~NULL,,~NULL,,16,Obstetrics/gynecology,,,IS0031,Obstetrics/Gynecology,13,2,12330.74
330544209,Provider - 330544209,,,,33102,F,,IS0023,Hospital,,,IS0034,Orthopedics,3,1,12189
330544210,Provider - 330544210,,,,33102,F,,IS0023,Hospital,,,IS0042,Radiology,9,2,12072.8
330509576,Provider - 330509576,,,~NULL,,~NULL,,IS0006,Cardiology,,,IS0006,Cardiology,25,3,11977.8
330183695,Provider - 330183695,,,,31192,P,,88,Unknown supplier/provider specialty,,,IS0049,Professional Services,2,1,11918
330544209,Provider - 330544209,,,,33102,F,,IS0023,Hospital,,,IS0042,Radiology,7,2,11857.6
330544211,Provider - 330544211,,,,33102,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,2,2,11718.16
330544851,"CRAIG, JOY MD",,,,15213,F,,IS0023,Hospital,,,IS0023,Hospital,3,1,11594.2
330544209,Provider - 330544209,,,,30384,F,,IS0023,Hospital,,,IS0023,Hospital,4,1,11591.4
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0042,Radiology,32,7,11487.22
330498784,Provider - 330498784,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0023,Hospital,1,1,11459.34
330479228,Provider - 330479228,,,~NULL,,~NULL,,31,"Roentgenology, radiology",,,IS0042,Radiology,14,6,11300.96
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0035,Other Supplies,19,6,11217.17
330131000,Provider - 330131000,,,,67208,F,,AC24,Extended Care Facility,,,IS0044,Skilled Nursing Facility,3,1,11018.59
330026238,Provider - 330026238,,,,44057,F,,AC24,Extended Care Facility,,,IS0023,Hospital,11,1,10857
330273486,Provider - 330273486,,,,11501,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,10832.4
330332659,Provider - 330332659,,,,19612,F,,IS0023,Hospital,,,IS0023,Hospital,3,1,10775.6
330408597,Provider - 330408597,,,,44146,F,,IS0023,Hospital,,,IS0041,Pulmonary,28,1,10752
330345747,Provider - 330345747,,,,15213,F,,IS0023,Hospital,,,IS0045,Surgery,13,1,10724.95
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0033,Operating Room,2,2,10705.28
330544837,"MAGANA, BONNIE MD",,,,44307,F,,IS0023,Hospital,,,IS0042,Radiology,34,1,10601.91
330544793,"KREINER, HOLLY MD",,,,44122,F,,IS0023,Hospital,,,IS0047,Vascular Surgery,72,1,10240
330047202,Provider - 330047202,,,,30384,F,,IS0023,Hospital,,,IS0047,Vascular Surgery,2,1,9920.12
330345942,Provider - 330345942,,,,15243,F,,IS0023,Hospital,,,IS0006,Cardiology,12,1,9899.66
330308068,Provider - 330308068,,,,44203,F,,A3,"Nursing Facility, Other",,,IS0041,Pulmonary,81,1,9748
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0042,Radiology,25,7,9492.83
330544612,Provider - 330544612,,,,33323,P,,05,Anesthesiology,,,IS0004,Anesthesia,12,4,9476.75
330391863,Provider - 330391863,,,,43017,F,,49,Ambulatory surgical center,,,IS0044,Skilled Nursing Facility,4,1,9360
330544612,Provider - 330544612,,,,33084,P,,05,Anesthesiology,,,IS0004,Anesthesia,15,4,9349.6
330313497,Provider - 330313497,,,,33173,F,,A1,Skilled Nursing Facility (SNF),,,IS0023,Hospital,5,2,9291.44
330266439,Provider - 330266439,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0033,Operating Room,1,1,9240
330355753,Provider - 330355753,,,,432600001,F,,AC30,Hospice,,,IS0044,Skilled Nursing Facility,3,1,9201.25
330463900,Provider - 330463900,,,,672017887,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,4,1,9131.75
330544765,Provider - 330544765,,,,30901,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,10,1,9115.32
330544839,"LEON, AUDREY MD",,,,43271,F,,AC29,Home Health Care,,,IS0021,Home Care,18,1,8821.95
1013957000,BILLINGS CLINIC,,,~NULL,,~NULL,,IS0006,Cardiology,,,IS0006,Cardiology,23,5,8592.36
330332567,Provider - 330332567,,,,16601,F,,IS0023,Hospital,,,IS0047,Vascular Surgery,71,2,8479.56
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0014,Emergency Room,16,4,8404.19
330544209,Provider - 330544209,,,,30384,F,,IS0023,Hospital,,,IS0042,Radiology,5,3,8336.4
330544154,Provider - 330544154,,,,19612,F,,IS0023,Hospital,,,IS0041,Pulmonary,2,1,8327.04
330511913,Provider - 330511913,,,~NULL,,~NULL,,25,Physical medicine and rehabilitation,,,IS0034,Orthopedics,7,1,8260
330509837,Provider - 330509837,,,~NULL,,~NULL,,~INV,Value not defined,,,IS0003,Ambulatory Services,2,1,8238.2
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0029,Neurology,19,2,8184.18
330544307,Provider - 330544307,,,,452630042,F,,IS0023,Hospital,,,IS0023,Hospital,2,1,8073.25
330332659,Provider - 330332659,,,,19612,F,,IS0023,Hospital,,,IS0045,Surgery,16,1,7911.99
330464885,Provider - 330464885,,,,43271,P,,20,Orthopedic surgery,,,IS0034,Orthopedics,15,1,7754.32
330525172,Provider - 330525172,,,~NULL,,~NULL,,IS0006,Cardiology,,,IS0026,Laboratory,136,2,7650.78
330023909,Provider - 330023909,,,,43260,F,,AC24,Extended Care Facility,,,IS0044,Skilled Nursing Facility,3,1,7568.66
330507670,Provider - 330507670,,,~NULL,,~NULL,,~INV,Value not defined,,,IS0013,Durable Medical Equipment,91,9,7534.97
330338537,Provider - 330338537,,,,19611,P,,54,"Medical supply company (not included in 51, 52, 53)",,,IS0013,Durable Medical Equipment,86,1,7513.51
330544842,Provider - 330544842,,,,43608,F,,IS0023,Hospital,,,IS0034,Orthopedics,24,1,7511.38
330149942,Provider - 330149942,,,,71201,P,,20,Orthopedic surgery,,,IS0030,Neurosurgery,20,1,7472.17
330404008,Provider - 330404008,,,,44302,P,,05,Anesthesiology,,,IS0004,Anesthesia,13,1,7443.21
330493144,Provider - 330493144,,,~NULL,,~NULL,,~INV,Value not defined,,,IS0003,Ambulatory Services,1,1,7409.4
330251463,Provider - 330251463,,,,67214,P,,IS0028,Nephrology,,,IS0023,Hospital,31,1,7352.2
330544154,Provider - 330544154,,,,19612,F,,IS0023,Hospital,,,IS0043,Rehabilitation Therapies,70,1,7318.07
330544210,Provider - 330544210,,,,33102,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,4,3,7308.8
330400599,Provider - 330400599,,,,44112,F,,IS0023,Hospital,,,IS0047,Vascular Surgery,69,1,7182.78
330544840,"STONE, PETER MD",,,,44308,F,,IS0023,Hospital,,,IS0027,Mental Health,50,1,7151.8
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0023,Hospital,9,3,7060.07
330508734,Provider - 330508734,,,~NULL,,~NULL,,~INV,Value not defined,,,IS0023,Hospital,7,3,7006.4
1003996000,REGIONAL MEDICAL CENTER BOARD,,,,15001,F,,49,Ambulatory surgical center,,,IS0023,Hospital,28,1,7003.21
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0013,Durable Medical Equipment,3,1,6976.64
330307394,Provider - 330307394,,,~NULL,,~NULL,,02,General surgery,,,IS0045,Surgery,4,2,6939.13
330544209,Provider - 330544209,,,,30384,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,1,1,6889.2
330341455,"WESTON, CAITLIN MD",,,,15213,P,,05,Anesthesiology,,,IS0004,Anesthesia,23,1,6815.1
330508247,Provider - 330508247,,,~NULL,,~NULL,,IS0030,Neurosurgery,,,IS0030,Neurosurgery,1,1,6750
330404384,Provider - 330404384,,,,44320,P,,54,"Medical supply company (not included in 51, 52, 53)",,,IS0013,Durable Medical Equipment,17,1,6732.6
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0012,Non-PBM Drug,101,8,6647.26
330492568,Provider - 330492568,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0033,Operating Room,1,1,6572.8
330507959,Provider - 330507959,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0014,Emergency Room,4,2,6571.44
330544216,Provider - 330544216,,,,33176,F,,IS0023,Hospital,,,IS0042,Radiology,14,6,6499.51
330511415,Provider - 330511415,,,~NULL,,~NULL,,IS0011,Dermatology,,,IS0011,Dermatology,24,3,6498.52
330544636,Provider - 330544636,,,,33081,P,,05,Anesthesiology,,,IS0004,Anesthesia,5,2,6489
330544213,"OLEARY, DARIA MD",,,,32886,F,,IS0023,Hospital,,,IS0023,Hospital,4,1,6475
330544839,"LEON, AUDREY MD",,,,43271,F,,01,General Practice,,,IS0026,Laboratory,9,1,6466.6
330544209,Provider - 330544209,,,,30384,F,,IS0023,Hospital,,,IS0028,Nephrology,3,1,6414
330544211,Provider - 330544211,,,,33033,F,,IS0023,Hospital,,,IS0014,Emergency Room,8,4,6396.4
330149942,Provider - 330149942,,,,71201,P,,20,Orthopedic surgery,,,IS0034,Orthopedics,8,1,6337.21
330544127,Provider - 330544127,,,,90048,F,,01,General Practice,,,IS0031,Obstetrics/Gynecology,1,1,6311.26
330544797,Provider - 330544797,,,,10156,F,,IS0023,Hospital,,,IS0023,Hospital,1,1,6286.5
330489412,Provider - 330489412,,,~NULL,,~NULL,,IS0038,Pathology,,,IS0026,Laboratory,471,18,6257.65
330259086,Provider - 330259086,,,,04102,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,3,1,6253.54
330233565,Provider - 330233565,,,,90074,F,,IS0023,Hospital,,,IS0023,Hospital,1,1,6243.43
330193371,Provider - 330193371,,,,90074,F,,IS0023,Hospital,,,IS0006,Cardiology,4,1,6223.17
330544228,"FISCH, STINE MD",,,,33243,P,,16,Obstetrics/gynecology,,,IS0031,Obstetrics/Gynecology,2,2,6200
330305766,Provider - 330305766,,,~NULL,,~NULL,,93,Emergency medicine,,,IS0014,Emergency Room,9,5,6194.12
330544210,Provider - 330544210,,,,33143,F,,IS0023,Hospital,,,IS0026,Laboratory,125,6,6152.57
330006960,Provider - 330006960,,,,05301,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,7,1,6087.43
330534224,Provider - 330534224,,,,43214,F,,49,Ambulatory surgical center,,,IS0046,Urology,3,1,6068.49
330077782,Provider - 330077782,,,,28263,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,6049.19
330544211,Provider - 330544211,,,,33033,F,,IS0023,Hospital,,,IS0026,Laboratory,55,4,5991.3
330544210,Provider - 330544210,,,,33102,F,,IS0023,Hospital,,,IS0028,Nephrology,3,1,5969.4
330544619,Provider - 330544619,,,,33345,P,,93,Emergency medicine,,,IS0014,Emergency Room,10,4,5964
330355728,Provider - 330355728,,,,44060,F,,A1,Skilled Nursing Facility (SNF),,,IS0023,Hospital,24,1,5962.39
330544218,Provider - 330544218,,,,33133,F,,IS0023,Hospital,,,IS0045,Surgery,2,1,5925.37
330156612,Provider - 330156612,,,,78265,F,,IS0023,Hospital,,,IS0023,Hospital,1,1,5880
330298669,Provider - 330298669,,,,44514,F,,A1,Skilled Nursing Facility (SNF),,,IS0023,Hospital,11,1,5871.3
330332659,Provider - 330332659,,,,19612,F,,IS0023,Hospital,,,IS0043,Rehabilitation Therapies,75,1,5656.42
330009649,Provider - 330009649,,,,02905,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,5573.25
330544218,Provider - 330544218,,,,33129,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,5571.07
330308382,Provider - 330308382,,,~NULL,,~NULL,,31,"Roentgenology, radiology",,,IS0045,Surgery,8,2,5541
330544616,Provider - 330544616,,,,33134,P,,30,Diagnostic radiology,,,IS0042,Radiology,246,19,5527.67
330294408,"PLOVER, MALLORY MD",,,~NULL,,~NULL,,37,Pediatric medicine,,,IS0037,Outpatient Care,60,9,5504.86
330489411,Provider - 330489411,,,~NULL,,~NULL,,IS0038,Pathology,,,IS0038,Pathology,10,2,5501.12
330389428,Provider - 330389428,,,,43210,P,,25,Physical medicine and rehabilitation,,,IS0012,Non-PBM Drug,2,1,5481.6
330354096,Provider - 330354096,,,,16601,F,,IS0023,Hospital,,,IS0023,Hospital,6,1,5424
330348279,Provider - 330348279,,,,15241,F,,IS0023,Hospital,,,IS0023,Hospital,1,1,5394.4
330343520,Provider - 330343520,,,,16602,F,,IS0023,Hospital,,,IS0023,Hospital,11,1,5377.42
330211309,Provider - 330211309,,,,60693,F,,AC29,Home Health Care,,,IS0021,Home Care,7,1,5370
330554666,"PARLON, TOM MD",,,,30384,~NULL,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,3,1,5342.88
330544216,Provider - 330544216,,,,33102,P,,88,Unknown supplier/provider specialty,,,IS0042,Radiology,2,1,5316
330307394,Provider - 330307394,,,~NULL,,~NULL,,11,Internal medicine,,,IS0023,Hospital,24,3,5302.15
330047202,Provider - 330047202,,,,30384,F,,IS0023,Hospital,,,IS0033,Operating Room,1,1,5278.3
330310871,Provider - 330310871,,,~NULL,,~NULL,,31,"Roentgenology, radiology",,,IS0042,Radiology,47,14,5275.69
330180740,Provider - 330180740,,,,44041,P,,A1,Skilled Nursing Facility (SNF),,,IS0044,Skilled Nursing Facility,3,1,5248
330510836,Provider - 330510836,,,~NULL,,~NULL,,AC36,Neonatology,,,IS0023,Hospital,6,2,5227.2
330544215,"GIOIOSO, CHELSEY MD",,,,33029,F,,IS0023,Hospital,,,IS0023,Hospital,2,1,5083
330544452,Provider - 330544452,,,,41042,F,,IS0023,Hospital,,,IS0023,Hospital,4,1,5076.8
330490639,Provider - 330490639,,,~NULL,,~NULL,,IS0023,Hospital,,,IS0005,Blood Bank,5,1,5066.8
330036314,Provider - 330036314,,,,30384,F,,IS0023,Hospital,,,IS0023,Hospital,1,1,5042.1
330544209,Provider - 330544209,,,,33102,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,4967.4
330300922,Provider - 330300922,,,,44124,F,,A1,Skilled Nursing Facility (SNF),,,IS0023,Hospital,8,1,4954.45
330544211,Provider - 330544211,,,,33102,F,,IS0023,Hospital,,,IS0005,Blood Bank,3,1,4945.2
330490751,Provider - 330490751,,,~NULL,,~NULL,,IS0006,Cardiology,,,IS0042,Radiology,12,2,4940.8
330246102,Provider - 330246102,,,,91748,F,,64,Audiologist,,,IS0013,Durable Medical Equipment,1,1,4940
330056129,Provider - 330056129,,,,04243,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,8,1,4912.16
330488018,Provider - 330488018,,,~NULL,,~NULL,,05,Anesthesiology,,,IS0034,Orthopedics,4,3,4879.58
330294408,"PLOVER, MALLORY MD",,,~NULL,,~NULL,,37,Pediatric medicine,,,IS0024,Immunizations,70,6,4877.1
1073536900,SETON FAMILY OF HOSPITALS,,,,04243,F,,IS0023,Hospital,,,IS0031,Obstetrics/Gynecology,2,1,4853.84
330544209,Provider - 330544209,,,,33176,F,,IS0023,Hospital,,,IS0014,Emergency Room,16,4,4849.6
330491789,Provider - 330491789,,,~NULL,,~NULL,,~INV,Value not defined,,,IS0044,Skilled Nursing Facility,26,6,4838.26
330544212,Provider - 330544212,,,,33146,F,,IS0023,Hospital,,,IS0014,Emergency Room,5,2,4795.98
330544851,"CRAIG, JOY MD",,,,15213,F,,A1,Skilled Nursing Facility (SNF),,,IS0043,Rehabilitation Therapies,19,1,4795.54
